Date,Dislikes,Image,Likes,Name,Rating,RelativeDate,Review,ReviewId,Title,URCount,Verified
2017-03-29 19:51:03,0,https://www.gravatar.com/avatar/3bcd8567c1e42d699da79bba078ddb6a?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Arun,70,17 hours ago,"its really stunned out me...it is another level movie...worth to watch ,,,very different attempt from an debutant mahesh narayan...ist half is little bit of lagg...but it is jztified by marvellous scnd half film.. touches the level of Bollywood,,, well balenced screen play and perfect piece of direction..every actors keep justice to their roles",17672157,sTuNNed,2,N
2017-03-29 19:48:41,0,https://www.gravatar.com/avatar/ab8ab68985c7bb1a09f4e9b6ca1f3a61?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Ashitha,100,17 hours ago,"it's an exceptionally well directed movie. Hollywood equillant performance from each artist. must watch one.fahad, Parvati n kunjako u just rocked",17672005,well directed and performed movie,1,Y
2017-03-29 19:44:49,0,https://www.gravatar.com/avatar/1716150d8734408737648f4e00d25a11?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Sathiya,100,17 hours ago,an awesome movie...Loved the Acting of all the stars.…Emotional …Thriller …Family Movie .……excellent movie to be watched with family,17671764,Good Movie to be watched,1,Y
2017-03-29 19:06:04,0,https://www.gravatar.com/avatar/b5fc772d68ca97fc66560267354792f5?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Arun,100,18 hours ago,Amazing direction by debutant mahesh narayanan.All characters have done their best especially parvathy menon and fahadh faasil.The movie was thrilling from the starting to end...,17669957,Great movie,11,N
2017-03-29 17:47:28,0,https://www.gravatar.com/avatar/d2806c5556510def4c3e5a1fc9c97a7e?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,vijaya,100,19 hours ago,didn't recognise it was parvathy. though ending is not gripping . but find it realistic. I liked the way the whole situation was potrayed. very apt acting by all 3 actors.,17666694,Take Off (U),1,Y
2017-03-29 16:04:31,1,https://www.gravatar.com/avatar/391d51f2dd744210b851daeb39effa26?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,12,Robin,90,21 hours ago,"One of the best ever realistic movie in malayalam, hats off mahesh narayanan, Parvathy was simply awesome,that child also rocked, congrats to Whole cast & Crew",17662441,Psycho,1,N
2017-03-29 15:58:06,1,https://www.gravatar.com/avatar/14c66fe2db3c98569d606b55666d4dcf?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,6,Adheed,100,21 hours ago,"I have only one thing to say, ""hats off..""  to the entire team of the movie (Take Off)... absltly no similarities bw Airlift. excpt that both movies are based on rescue missions",17662271,Take Off,1,Y
2017-03-29 15:54:24,2,https://www.gravatar.com/avatar/f14e994fca5570cfba06b7f32e9a1860?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Kmr,100,21 hours ago,awesome script awesome direction awesome acting wow superb filim which I seen last few years fahads acting is mass wow also kunjako especially parvathy she is not acting she is living in that filim,17662178,awsome,6,N
2017-03-29 15:53:22,0,https://www.gravatar.com/avatar/062972d7e2d589f789b5c36a6d7495f8?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,midhun,80,21 hours ago,Movie based on a realistic storyline. 100% commitment by all actors.now I admit Parvathy she is good actress.one of the real movie for this year,17662156,Worth of money,1,Y
2017-03-29 15:41:00,0,https://graph.facebook.com/812432575503725/picture?type=square,1,Josemany,100,21 hours ago,"a excellent movie,  class acting and excellent direction one of the best filim in the history of malayalam movie a oscar for Parthathy fahad fasil is also acted brillantly a class act",17661794,Take Off,1,N
2017-03-29 15:36:53,0,https://www.gravatar.com/avatar/a073a8472ad4689b805062abda5cf036?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Aby,100,21 hours ago,parvathy just broke our heatrs with her outstanding performence while chakkochan and fahad blowed our minds!! the film is just awesome...please you people out there go and watch the film in theatres ohkay,17661677,class movie,4,N
2017-03-29 14:49:37,0,https://www.gravatar.com/avatar/304a53e97a412e420b3c3de422632738?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Justin,100,22 hours ago,super script n story.. parvathy.. kunchacko..n fahad played their role superbly..all the best especially for director mahesh..a must watch movie for family..,17659970,must watch,1,Y
